Date,^125904-USD-STRD
2001-05-09,1210.89
2001-05-10,1231.59
2001-05-11,1216.83
2001-05-14,1193.47
2001-05-15,1212.41
2001-05-16,1220.31
2001-05-17,1228.13
2001-05-18,1230.1
2001-05-21,1234.47
2001-05-22,1231.99
2001-05-23,1214.62
2001-05-24,1211.72
2001-05-25,1204.36
2001-05-28,1209.15
2001-05-29,1194.63
2001-05-30,1182.62
2001-05-31,1174.03
2001-06-01,1170.14
2001-06-04,1175.88
2001-06-05,1189.4
2001-06-06,1179.19
2001-06-07,1180.42
2001-06-08,1175.84
2001-06-11,1156.51
2001-06-12,1142.62
2001-06-13,1155.3
2001-06-14,1150.12
2001-06-15,1144.69
2001-06-18,1133.14
2001-06-19,1132.33
2001-06-20,1121.37
2001-06-21,1123.52
2001-06-22,1128.85
2001-06-25,1136.12
2001-06-26,1119.14
2001-06-27,1117.51
2001-06-28,1119.12
2001-06-29,1127.56
2001-07-02,1143.34
2001-07-03,1129.64
2001-07-04,1121.02
2001-07-05,1102.71
2001-07-06,1088.54
2001-07-09,1093.13
2001-07-10,1093.96
2001-07-11,1085.75
2001-07-12,1089.6
2001-07-13,1095.41
2001-07-16,1093.55
2001-07-17,1079.84
2001-07-18,1089.37
2001-07-19,1104.64
2001-07-20,1099.48
2001-07-23,1098.1
2001-07-24,1089.85
2001-07-25,1081.01
2001-07-26,1087.06
2001-07-27,1103.6
2001-07-30,1117.65
2001-07-31,1129.7
2001-08-01,1137.74
2001-08-02,1141.94
2001-08-03,1135.59
2001-08-06,1129.41
2001-08-07,1127.54
2001-08-08,1113.13
2001-08-09,1106.2
2001-08-10,1105.5
2001-08-13,1114.76
2001-08-14,1127.27
2001-08-15,1135.39
2001-08-16,1125.24
2001-08-17,1111.67
2001-08-20,1107.82
2001-08-21,1120.04
2001-08-22,1125.67
2001-08-23,1119.6
2001-08-24,1136.34
2001-08-27,1133.55
2001-08-28,1120.37
2001-08-29,1119.32
2001-08-30,1096.61
2001-08-31,1097.86
2001-09-03,1083.99
2001-09-04,1080.78
2001-09-05,1063.55
2001-09-06,1042.53
2001-09-07,1030.85
2001-09-10,1017.21
2001-09-11,963.42
2001-09-12,978.08
2001-09-13,990.92
2001-09-14,953.22
2001-09-17,976.59
2001-09-18,968.5
2001-09-19,953.95
2001-09-20,914.62
2001-09-21,880.89
2001-09-24,926.13
2001-09-25,944.92
2001-09-26,956.45
2001-09-27,967.82
2001-09-28,987.58
2001-10-01,972.19
2001-10-02,980.16
2001-10-03,987.89
2001-10-04,1014.12
2001-10-05,1014.15
2001-10-08,1013.89
2001-10-09,1010.65
2001-10-10,1027.54
2001-10-11,1031.06
2001-10-12,1029.77
2001-10-15,1010.64
2001-10-16,1021.35
2001-10-17,1041.03
2001-10-18,1021.93
2001-10-19,1000.97
2001-10-22,1009.46
2001-10-23,1029.48
