Date,Close
"Aug 31, 2021",230
"Sep 30, 2021",220
"Oct 29, 2021",231
"Nov 30, 2021",225
"Dec 31, 2021",234
"Jan 31, 2022",222
"Feb 28, 2022",216
"Mar 31, 2022",220
"Apr 29, 2022",202
"May 31, 2022",202
"Jun 30, 2022",185
"Jul 29, 2022",198
"Aug 31, 2022",190
"Sep 30, 2022",171
"Oct 31, 2022",182
"Nov 30, 2022",195
"Dec 30, 2022",188
"Jan 31, 2023",201
"Feb 28, 2023",195
"Mar 31, 2023",200
"Apr 28, 2023",203
"May 31, 2023",200
"Jun 30, 2023",212
"Jul 31, 2023",219
"Aug 31, 2023",213
"Sep 29, 2023",203
"Oct 31, 2023",197
"Nov 30, 2023",215
"Dec 29, 2023",225
"Jan 31, 2024",226
"Feb 29, 2024",236
"Mar 29, 2024",243
"Apr 30, 2024",234
"May 31, 2024",243
"Jun 28, 2024",248
"Jul 31, 2024",252
"Aug 30, 2024",258
"Sep 30, 2024",264
"Oct 31, 2024",258
"Nov 29, 2024",267
"Dec 31, 2024",261
